name,address,city,telephone1,url,fax,telephone2
Bean So Good Cafe Bakery,2533 Heather St, Vancouver,604 875-6525,nil,nil,nil,
Bell's Bake Shop,110-12211 1st Ave, Richmond,604 284-5152,nil,nil,nil,
Belmont Bistro & Bakery,619 Belmont St, New Westminster,604 549-9900,nil,nil,nil,
Beyond Bread Artisan Bakery,3686 W 4th Ave, Vancouver,604 733-3931,nil,nil,nil,
BG Urban Cafe,15-2991 Lougheed Hwy, Coquitlam,604 945-9494,nil,nil,nil,
BJ Bakery & Deli,7604 Royal Oak, Burnaby,604 433-7706,nil,nil,nil,
Blade Rook Bake House,2141 Hastings St E, Vancouver,604 563-5094,nil,nil,nil,
Bon Bon Bakery,5807 Victoria Dr, Vancouver,604 325-3612,www.bonbonbakery.ca,nil,nil,
Bon Ton Pastry & Confectionery,3150 W Broadway, Vancouver,604 681-3058,nil,nil,nil,
Bonnie's Bread,310-3200 54th Ave E,604 434-1111,nil,nil,nil,
Boulangerie Cho Pain,1165 Davie St, Vancouver,604 669-4271,nil,nil,nil,
Boulangerie La Parisienne,1076 Mainland Street, Vancouver,604 684-2499,nil,nil,nil,
Bountiful Bakery & Cake Shop,1-5137 Victoria Dr, Vancouver,604 322-6218,nil,nil,nil,
The Patty Shop,4019 MacDonald, Vancouver,604 738-2144,nil,nil,nil,
Steveston Bakery,12231 No. 1 Rd, Richmond,604 271-3656,nil,nil,nil,
The Penn Bakery,408 Carrall St, Vancouver,604 696-9701,nil,nil,nil,
Perestroika Products,A-8626 Joffre, Burnaby,604 451-0606,nil,nil,nil,
Strawberry Bakery,100-1641 Commercial Dr, Vancouver,604 254-5191,nil,nil,nil,
McGavin's Bread Basket Store,2525 Kingsway, Vancouver,604 435-6258,nil,nil,nil,
McGavin's Bread Basket Store,5932 Fraser St, Vancouver,604 324-1991,nil,nil,nil,
McGavin's Bread Basket Store,8380 112 St, Delta,604 501-1142,nil,nil,nil,
McGavin's Bread Basket Store,20410 Langley Bypass, Langley,604 532-7024,nil,nil,nil,
McGavin's Bread Basket Store,20834 Lougheed Hwy, Maple Ridge,604 467-2283,nil,nil,nil,
McGavin's Bread Basket Store,104-450 Columbia St E, New Westminster,604 524-9191,nil,nil,nil,
McGavin's Bread Basket Store,1447 Marine, North Vancouver,604 984-6354,nil,nil,nil,
McGavin's Bread Basket Store,720-3025 Lougheed Hwy, Coquitlam,604 941-0850,nil,nil,nil,
McGavin's Bread Basket Store,105-11331 Coppersmith Way, Richmond,604 204-0381,nil,nil,nil,
McGavin's Bread Basket Store,126-4940 No. 3 Rd, Richmond,604 276-0620,nil,nil,nil,
McGavin's Bread Basket Store,304-8066 120 St, Surrey,604 572-8020,nil,nil,nil,
McGavin's Bread Basket Store,3-12830 96 Ave, Surrey,604 580-1158,nil,nil,nil,
McGavin's Bread Basket Store,15551 Fraser Hwy, Surrey,604 589-5444,nil,nil,nil,
Piast Bakery & Deli,3280 Cambie St, Vancouver,604 876-2400  ,nil,nil,nil,
Streamline Bakery,178 Keefer St,604 688-2228,nil,nil,nil,
Pine House Bake,1540-8260 Westminster Hwy, Richmond,604 821-1139,nil,nil,nil,
Stuart's Bakery,1689 Johnston, Vancouver,604 685-0256,nil,nil,nil,
Pine House Bakery,1060-4380 No. 3 Rd, Richmond,604 214-9863,nil,nil,nil,
Pine House Bakery,1112-4500 Kingsway, Burnaby,604 438-4437,nil,nil,nil,
Pine House Bakery,3396 Kingsway, Vancouver,604 438-3373 ,nil,nil,nil,
Suvai Restaurant,2279 W 41st Ave, Vancouver,604 261-4900,nil,nil,nil,
Sweet Art Bakery,109 Lonsdale, North Vancouver,604 988-1000,nil,nil,nil,
Pine House Bakery Hastings,2462 E Hastings, Vancouver,604 215-3370,nil,nil,nil,      
Pine House Bakery,2462 Hastings St E, Vancouver,604 253-2887,nil,nil,nil,
Pinehouse Bakery,5870 Victoria Dr,Vancouver,604 325-7222,nil,nil,nil,
Sweet E's Pastries & Sweets,2032 W 41st Ave,Vancouver, 604 264-9202,nil,nil,nil,
Sugar Patisserie,103-17767 64 Ave, Surrey,604 574-1551,nil,nil,nil,
Plaisir Sucre Bakery,2668 Arbutus St, Vancouver,604 736-0515,nil,nil,nil,
Sweet Carrie's Dessert Shop,123 Carrie Cates Crt, North Vancouver,604 987-7843,nil,nil,nil,
Sweet Obsession,2611 W 16th Ave, Vancouver,604 739-0555,nil,nil,nil,
SweetNChicCakeBoutique1-1796756Ave,Surrey604575-0882,nil,nil,nil,                                                                                                         Polonta Bakery,14641 108 Ave, Surrey,604 930-8830,nil,nil,nil,
Sweet Summit Bakeries,8272 Manitoba, Vancouver,604 301-9100,nil,nil,nil,
Polonia Bakery & Deli,14641 108 Ave, Surrey,604 930-8848,nil,nil,nil,
Sweet William's Dessert ,555 W 12th Ave, Vancouver,604 872-2659,nil,nil,nil,
Polonia Deli ,2338 Marpole, Port Coquitlam,604 468-8748  ,nil,nil,nil,
T K Bakery,1087 Kingsway, Vancouver,604 872-4734,nil,nil,nil,
Mega Bakery,1163-3779 Sexsmith Rd, Richmond,604 303-9818,nil,nil,nil,
Michael's Artisan Bakery & Cafe,15578 24 Ave, Surrey,604 541-9222,nil,nil,nil,
Quejo's Cheesebuns,4129 Main St, Vancouver,604 420 0832,nil,nil,nil,
Tachia Bakery,4111 Macdonald, Vancouver,604 731-7766,nil,nil,nil,
Tartine Bread & Pies,770 Beach Ave, Vancouver,604 685-7435,nil,nil,nil,
Tasters Bakery,147-10090 152 St, Surrey,604 580-9668,nil,nil,nil,
Middlegate Bakery,7155 Kingsway, Burnaby,604 521-1618,nil,nil,nil,
Minoo Bakery & Pastry,117-2918 Glen, Coquitlam,604 552-3336,nil,nil,nil,
Mix The Bakery,4430 W 10th Ave, Vancouver,604 221-4145,nil,nil,nil,
Mom N Pop's Bake Shoppe,2068 W 41st Ave, Vancouver,604 261-2338,nil,nil,nil,
Monarch Bakery,1823 Lonsdale, North Vancouver,604 980-8498,nil,nil,nil,
Moore's Bakery & Delicatessen,2128 W 41st, Vancouver,604 261-2922,nil,nil,nil,
More Crumbs Bakery Cafe,11916 207 St, Maple Ridge,604 467-6232,nil,nil,nil,
Mountain Top Wheat & Gluten-Free Bakery,103-1124 Lonsdale, North Vancouver,604 960-9605,nil,nil,nil,
Mozart Bakery,12-20349 88th Ave, Langley,604 882-0433,nil,nil,nil,
Ray's Bakery ,8685 10th Ave, Burnaby,604 528-9974,nil,nil,nil,
Regent Bakery,110-4231 Hazelbridge Way, Richmond,604 273-2983,nil,nil,nil,
Rex Bakery,141 16th St W, North Vancouver,604 973-0119,nil,nil,nil,
Richlea Bakery,5166A Ladner Trunk Rd, Ladner,604 940-3397,nil,nil,nil,
Richmond Bakery,175-11700 Cambie Rd, Richmond,604 273-6844,nil,nil,nil,
Roastmastir's,1902 Lonsdale, North Vancouver,604 986-3000,nil,nil,nil,
Rocky Mountain Food,4-12950 80 Ave, Surrey,604 592-6868,nil,nil,nil,
Royale Wafery  ,3-6091 Dyke, Richmond,604271-7187,nil,nil,nil,
Terra Breads ,1661 Duranleau St, Vancouver,604 685-3102,nil,nil,nil,
Terra Breads,2380 W 4th Ave, Vancouver,604 736-1838,nil,nil,nil,
The Artisan Bake Shoppe,1472 Crown, North Vancouver,778 340-0229,nil,nil,nil,
Transylvanian Traditions Bakery,1111 Davie St, Vancouver,604 682-0096,nil,nil,nil,
Tung Hing Bakery,1198 Kingsway, Vancouver,604 875-3394,nil,nil,nil,
Uprising Breads Bakery,1697 Venables, Vancouver,604 254-5635,nil,nil,nil,
Valley Bakery,4058 Hastings, Burnaby,604 291-0674,nil,nil,nil,
Mozart Bakery,12-20349 88th Ave, Langley,604 882-0433 ,nil,nil,nil,
Sabra Kosher Bakery & Restaurant,3844 Oak, Vancouver,604 733-4912,nil,nil,nil,
Mr Mom's World,10594 King George Blvd, Surrey,604 584-0601,nil,nil,nil,
Safari Gourmet Pies,102-5777 Beresford St, Burnaby,604 431-7405,nil,nil,nil,
Vegetarian Delite Bakery,101-13140 80 Ave, Surrey,604 502-0104,nil,nil,nil,
Mr Paris Fresh Bakery,222-4501 North Road, Burnaby,604 420-0095,nil,nil,nil,
Veneto's Cakes & Pastries,7380 King George Boulevard, Surrey,604 597-9886,nil,nil,nil,
Muffin Delight,108-123 Carrie Cates Crt, North Vancouver,604 987-8971,nil,nil,nil,
Muffin Granny,1689 Johnston, Vancouver,604 684-3821,nil,nil,nil,
Mundy Park Bakery,1924 Como Lk, Coquitlam,604 936-1535,nil,nil,nil,
My Goodness! Gluten & Wheat Free Kitchen,235 Broadway E, Vancouver,604 876-8878,nil,nil,nil,
Nana's Bakery,7715 Royal Oak, Burnaby,604 568-4122,nil,nil,nil,
New Amsterdam Bakery,12892 96th Ave, Surrey,604 584-2911,nil,nil,nil,
New Town Bakery,3484 Cambie, Vancouver,604 876-7288,nil,nil,nil,
New Town Bakery & Restaurant,148 E Pender St, Vancouver,604 689-7835,nil,nil,nil,
Nickels Bakery,1816 Lonsdale, North Vancouver,604 987-4711,nil,nil,nil,
Sahane Bakery & Kebob House,288-1175 Johnson St, Coquitlam,778 285-3939,nil,nil,nil,
St Avenue Bakery,118-2800 E 1st Ave, Vancouver,604 255-6666,nil,nil,nil,
St Germain Bakery,1144-4720 Kingsway, Burnaby,604 438-8182,www.saintgermainbakery.com,nil,nil,
St Germain Bakery,1428-4151 Hazelbridge Way, Richmond,604 276-8378,www.saintgermainbakery.com,nil,nil,
St Germain Bakery,140-650 West 41st Ave, Vancouver,604 267-0807,www.saintgermainbakery.com,nil,nil,
Sally's Cake House,291 E Pender, Vancouver,604 684-9308,nil,nil,nil,
Salt Spring Coffee,506-7380 King George Blvd, Surrey,604 597-9886,nil,nil,nil,
Viva Fine Foods & Bakery,1555 Yew, Vancouver,604 738-8482,nil,nil,nil,
West Side Bakery,4021 MacDonald, Vancouver,604 738-4228,nil,nil,nil,
Westlynn Bakery,1199 Lynn Valley, North Vancouver,604 985-1622,nil,nil,nil,
Westview Bakery,788-2601 Westview Dr, North Vancouver,604 987-6937,nil,nil,nil,
Wheat Garden Bakery,155-8191 Westminster Hwy, Richmond,604 232-1202,nil,nil,nil,
Wing Wah Bakery,101-2607 E 49th Ave, Vancouver,604 451-1878,nil,nil,nil,
Wow! Factor Desserts,101-20530 Langley By-Pass, Langley,604 533-1481,nil,nil,nil,
Old Dutch Bakery,127-9855 Austin, Burnaby,604 421-0892,nil,nil,nil,
Salt Spring Coffee,4295 Main St, Vancouver,604 875-9727,www.saltspringcoffee.com,nil,nil,
Yaas Bakery,1860 Lonsdale, North Vancouver,604 990-9006,nil,nil,nil,
Lougheed Town Centre,9855 Austin, Burnaby,604 421-0852,nil,nil,nil,
Pacific Institute Of Culinary Arts,101-1505 W 2nd Ave, Vancouver,604 734-4488,nil,nil,nil,
Panaderia Sabor Latino Bakery,1211 Nanaimo, Vancouver,604 568-3320 ,nil,nil,nil,
Sam Bakery,1336 Clark,604 629-0152,nil,nil,nil,
Saman Bakery,1185 16th St W, North Vancouver,604 990-9000,nil,nil,nil,
Sam's Bakery,1336 Clark Dr, Vancouver,604 253-2808,nil,nil,nil,
Yale Town Brownies Bakery,2680 W Broadway, Vancouver,604 732-5700,nil,nil,nil,
Yan Bakery,2070 E Hastings St, Vancouver,604 215-8323,nil,nil,nil,
Sciue Italian Bakery Caffe,126 Davie St, Vancouver,604 689-7263,nil,nil,nil,
Zena's Gluten Free Bakery,22346 Dewdney Trunk Rd, Maple Ridge,604 477-0774,nil,nil,nil,
Pane E Formaggio,4532 W 1Oth Ave, Vancouver,604 224-1623,nil,nil,nil,
Panne Rizo,1939 Cornwall, Vancouver,604 736-0885,nil,nil,nil,
Serano Greek Pastry,3185 W Broadway, Vancouver,604 739-3181,nil,nil,nil,
Paris Bakery,1403 Commercial Dr, Vancouver,604 251-6366,nil,nil,nil,
Park Royal Artisan Bakery,M23-1000 Park Royal S, West Vancouver,604 926-4401,nil,nil,nil,
The Pastry Box,5-200 Golden, Coquitlam,604 468-2696,nil,nil,nil,
Pastry Club Dessert Cafe,2438 W 41st, Vancouver,604 264-8741,nil,nil,nil,
Patisserie Bordeaux,3675 W 1Oth Ave, Vancouver,604 731-6551,nil,nil,nil,
Seven Korean Bakery,1148-1163 Pinetree Way, Coquitlam,604 461-8058,nil,nil,nil,
Solly's Bagelry,189 E 28th Ave, Vancouver,604 872-1821,www.sollysbagelry.com,nil,nil,
Solly's Bagelry,368 W 7th Ave, Vancouver,604 675-9770,www.sollysbagelry.com,nil,nil,
Solly's Bagelry,2873 W Broadway, Vancouver,604 872-1821,www.sollysbagelry.com,nil,nil,
ABC Country Restaurant,101-6500 Hastings St, Burnaby,604 291-8444,www.abccountry.ca,nil,nil,
ABC Country Restaurant,10410-158 St, Surrey,604 930-4717,www.abccountry.ca,604 930-4702,nil,
Greenacres Golf Course,5040 No. 6 Rd, Richmond,604 273-1091,nil,nil,nil,
Guildford Golf & Country Club,7929 152 St, Surrey,604 594-1435,nil,nil,nil,
Hellenic Community Centre of Vancouver,4500 Arbutus St,604 266-7148,www.helleniccommunity.org,nil,nil,
Heritage Hall,3102 Main St, Vancouver,604 879-4816,www.heritagehall.bc.ca,nil,nil,
Holiday Inn Express Burnaby Metrotown,4405 Central Blvd, Burnaby,604 438-1881,nil,nil,nil,
Holiday Inn Vancouver - Centre Broadway,711 W Broadway, Vancouver,604 707-1933,nil,nil,nil,
Hyatt Vancouver,655 Burrard, Vancouver,604 683-1234,nil,nil,nil,
Kostas Greek Restaurant,20080 Fraser Hwy, Langley,604 530-9531,nil,nil,nil,
Langley Banquet Centre,3227 264th St, Aldergrove,604 856-9005,nil,nil,nil,
Langley Golf & Banquet Centre,4343 216 St, Langley,604 534-4555,www.langleygolfcentre.com,nil,nil,
Langley Golf Centre,21550 44 Avenue, Vancouver,604 514-0155,nil,nil,nil,
Law Courts Restaurant,800 Smithe St, Vancouver,604 684-8818,www.lawcourtsinn.com,604 689-5274,nil,
ABC Country Restaurant,19219 56 Ave, Surrey,604 576-7770,nil,nil,nil,
ABC Country Restaurant,2350 Boundary Rd, Burnaby,604 293-1242,nil,nil,nil,
BC Place,777 Pacific Boulevard, Vancouver,604 669-2300,nil,nil,nil,
Beijing Restaurant,865 Hornby, Vancouver,604 688-7788,nil,nil,nil,
Blue Horizon Hotel,1225 Robson, Vancouver,604 688-1411,nil,nil,nil,
Bombay Banquet Hall,7475 135 St, Surrey,604 594-2019,nil,nil,nil,
Le Bistro Chez Michel,224 West Esplanade, North Vancouver,604 924-4913,nil,nil,nil,
Le Gavroche Restaurant,1616 Alberni, Vancouver,604 685-3924,nil,nil,nil,
Lovely Sweet & Restaurant,101-7168 128 St, Surrey,604 572-0888,nil,nil,nil,
Mayfair lakes Golf & Country Club,5460 No. 7 Rd, Richmond,604 276-0585,nil,nil,nil,
Burnaby Lake Clubhouse,3760 Sperling, Burnaby,604 294-4144,nil,nil,nil,
Burnaby Winter Club,4990 Canada Way, Burnaby,604 299-7788,www.burnabywinterclub.com,nil,nil,
Canvas Lounge,99 Powell St, Vancouver,604 609-9939,www.canvaslounge.ca,nil,nil,
Canyon House Banquet Rooms,3735 Capilano Rd, North Vancouver,604 985-7474,www.capbridge.com,nil,nil,
Coquitlam Leisure & Park Services,640 Poirier St, Coquitlam,604 933-6018,nil,nil,nil,
Croatian Cultural Centre,3250 Commercial Dr, Vancouver,604 879-0154,www.croatiancentre.com,nil,nil,
Crown Palace Banquet Hall,201-12025 Nordel Way, Surrey,604 591-8100,nil,nil,nil,
Delta Vancouver Airport,3500 Cessna Dr, Richmond,604 278-1241,nil,nil,nil,
Dr Sun Yat-Sen Classical Chinese Garden,578 Carrall, Vancouver,604 662-3207,nil,nil,nil,
The Metro,759 Carnarvon, New Westminster,604 527-1122,nil,nil,nil,
Morgan Creek Golf Course,3500 Morgan Ck Way, Surrey,604 531-4696,nil,nil,nil,
Moti Raja Catering Services,8273 Ross, Vancouver,604 325-5014,nil,nil,nil,
Northview Golf & Country Club,6857-168 St, Surrey,604 574-0324,www.northviewgolf.com,nil,nil,
Occasions At The Pond,14320 57 Ave, Surrey,604 596-4548,nil,nil,nil,
The Old Bavaria Haus Restaurant,233 6th St, New Westminster,604 524-5824,nil,nil,nil,
Pacific Inn Resort & Conference Centre,1160 King George Blvd, Surrey,604 535-1432,www.pacificinn.com,nil,nil,
Pitt Meadows Golf Club,13615 Harris, Pitt Meadows ,604 465-5431,nil,nil,nil,
Punjab Banquet Hall,215-8166 128 St, Surrey,604 598-7611,nil,nil,nil,
Renaissance Vancouver Hotel Harbourside,1133 W Hastings St, Vancouver,604 689-9211,nil,nil,nil,
River Club,11111 Horseshoe Way, Richmond,604 272-4400,nil,nil,nil,
Riverside Banquet Hall & Catering,230-14500 River Rd, Richmond,604 244-7755,nil,nil,nil,
Royal Canadian Legion Branch 133,2675 Shaughnessy St, Port Coquitlam,604 942-8911,nil,nil,nil,
Royal City Curling Club,75 E 6th Ave, New Westminster,604 522-4737,nil,nil,nil,
Eaglequest Golf,1001 United Blvd, Coquitlam,604 523-6400,www.eaglequestgolf.com,nil,nil,
St Mary's Ukrainian Cultural Centre,3150 Ash St, Vancouver,604 842-1113,www.stmarysbc.com,nil,nil,
Empire Landmark Hotel & Conference Centre,1400 Robson, Vancouver,604 687-0511,nil,nil,nil,
Firefighters Banquet & Conference Centre,6515 Bonsor, Burnaby,604 437-6338,nil,nil,nil,
Firefighters Social & Athletic Club,6515 Bonsor, Burnaby,604 437-4347,nil,nil,nil,
The Fish House in Stanley Park,8901 Stanley Park Drive,604 681-7275,nil,nil,nil,
The Giggle Dam Dinner Theatre,2616 Shaughnessy, Port Coquitlam,604 944-4453,nil,604 944-4488 ,nil,
Salahai Thai Restaurant,3364 Cambie, Vancouver,604 875-6999,nil,nil,nil,
Sandbar Seafood Restaurant On Granville Island,1535 Johnston, Vancouver,604 669-9030,nil,nil,nil,
Scandinavian Community Centre,6540 Thomas, Burnaby,604 294-2777,nil,nil,nil,
Scottish Cultural Centre,8886 Hudson, Vancouver,604 263-6955,nil,604 263-9911,nil,
Grand Taj Banquet Halls,8388 128 St, Surrey,604 599-4342,www.grandtaj.com,604 599-4818,nil,
Greater Vancouver Zoo,5048 264th St, Aldergrove,604 856-682,nil,nil,nil,
Seasons In The Park Restaurant,Queen Elizabeth Park, Vancouver,604 874-8008,nil,nil,nil,
Shelter Island Restaurant,100-6911 Graybar, Richmond,604 270-0364,nil,nil,nil,
Bed & Breakfast Gasthaus,2320 Haversley Ave, Coquitlam,604 878-1049,nil,nil,nil,
A Bed & Breakfast Between Friends,1916 Arbutus, Vancouver,604 734-5082,www.betweenfriends-vancouver.com,nil,nil,
Alma Beach Bed & Breakfast,3756 W 2nd Ave, Vancouver,604 221-1950,nil,nil,nil,
Balfour Inn,1064 Balfour Ave, Vancouver,604 730-9927,nil,nil,nil,
Barclay House,7-1351 Barclay, Vancouver,604 605-1351,nil,nil,nil,
Bayview B&B At Green Gables West,1270 Netley Pl, West Vancouver,604 926-3218,nil,nil,nil,
Beachview Retreat B&B,611 Beachview, North Vancouver,604 782-5999,nil,nil,nil,
Bed & Breakfast Beside Lighthouse Park,4875 Water Lane, West Vancouver,604 926-5959,nil,nil,nil,
Bed & Breakfast By Schneider's Residence,1295 W 26th, Vancouver,604 731-2621,nil,nil,nil,
Cambie Lodge,446 W 13th, Vancouver,604 872-4753,nil,nil,nil,
Canada-West Accommodations,PO Box 86607, North Vancouver,604 990-6730,nil,nil,nil,
Canoe Pass Inn B&B,3383 River Rd W, Ladner,604 946-67BO,nil,nil,nil,
Cedar Hill Bed & Breakfast,1095 Keith W, North Vancouver,604 988-9629,nil,nil,nil,
Copes' Choice B&B Registry,864 E 14th, North Vancouver,604 987-8988,nil,nil,nil,
The Corkscrew Inn,2735 W 2nd Ave, Vancouver,604 733-7276,nil,nil,nil,
Douglas Guest House,456 W 13th Ave, Vancouver,604 872-3060,nil,nil,nil,
Dude Inn,4349 River Rd W, Ladner,604 946-7521,nil,nil,nil,
English Bay Inn ,1968 Comox, Vancouver,604 683-8002,nil,nil,nil,
Fernwood Guesthouse,1512 55A St, Tsawwassen,604 948-4884,nil,nil,nil,
The Fig Tree Bed & Breakfast,413 Mariner Way, Coquitlam,604 464-3441,nil,nil,nil,
Grand Manor Guest House & Apartments,1617 Grand Blvd, North Vancouver,604 988-6082,nil,nil,nil,
Granville House B&B ,5050 Granville, Vancouver,604 739-9002,nil,nil,nil,
Greystone Bed & Breakfast,2006 W 14th, Vancouver,604 732-1375,nil,nil,nil,
Hampton On The Green B&B,1738 Hampton, Coquitlam,604 942-7100,nil,nil,
Hillhouse Bed & Breakfast,358 Simpson, New Westminster,604 524-3060,nil,nil,
Hotel Kingston Bed & Breakfast,757 Richards, Vancouver,604 684-9024,nil,nil,
Hycroft B&B Suites,1248 W 15th Ave, Vancouver,604 739-9002,nil,nil,
Broadway West B&B,3104 W 8th Ave, Vancouver,604 738-7994,nil,nil,nil,
Kitsilano Cottage By The Sea,1350 Walnut, Vancouver,604 261-4951,nil,nil,nil,
Apex Liquor Market,6509 Victoria Dr, Vancouver,604 569-3616,nil,nil,nil,
Bainbridge Liquor Store,5-2909 Bainbridge, Burnaby,604 415-0766,nil,nil,nil,
Best Western Coquitlam Inn Convention Centre,319 North Rd, Coquitlam,604 931-5331,nil,nil,nil,
Brewery Creek Cold Beer & Wine Store,3045 Main St, Vancouver,604 872-3373,nil,nil,nil,
BC Liquor Store,3678 Hastings St E, Vancouver,604 568-3660,nil,nil,nil,
Burrard St Liquor Store,2401 Burrard St, Vancouver,604 566-9244,nil,nil,nil,
Darby's Liquor Store,2001 MacDonald St, Vancouver,604 731-8750,nil,nil,nil,
Duke Of Wellington Cold Beer & Wine Store,19665 Willowbrook, Langley,604 539-7717,nil,nil,nil,
Edgemont Fine Wines Spirits & Ales,3020 Edgemont Blvd, North Vancouver,604 984-9463,nil,nil,nil,
Estate Wine Store,3669 W 4th Ave, Vancouver,604 730-1341,nil,nil,nil,
Fairview Beer & Wine Store,898 W Broadway, Vancouver,604 708-2337,nil,nil,nil,
8th Street Liquor Store ,48 Eighth St, New Westminster,604 522-0011,nil,nil,nil,
Fireside Liquor Store,444 Columbia E, New Westminster,604 521-1195,nil,nil,nil,
Forest Ale House & Liquor Store,3140 King George Blvd, Surrey,604 560-5096,nil,nil,nil,
Fox's Reach Liquor Store,160-20398 Dewdney Trunk, Maple Ridge,604 460-9119,nil,nil,nil,
Golden Spike Pub & Bistro,3224 St Johns, Port Moody,604 469-9463,nil,nil,nil,
The Gull Liquor Store,715-333 Brooksbank, North Vancouver,604 988-5545,nil,604 988-5576,nil,
Hotel Eldorado,101-4892 Clarendon St, Vancouver,604 434-8327,nil,nil,nil,
Jake's Crossing Liquor Store,2414 St. Johns St, Port Moody,604 939-6002,nil,nil,nil,
Jimmy's Cold Beer & Wine,783 Homer St, Vancouver,604 689-2827,nil,nil,nil,
Jimy Mac's Liquor,19935 96 Ave, Langley,604 888-9440,nil,nil,
